1,Harper 130
2,Harper 130
3,Harper 130
4,Cobb 402
5,Cobb 402
6,Cobb 403
7,Cobb 403
8,Cobb 409
9,Cobb 409
10,Cobb 430
11,NOT ATTENDING
12,BSLC 205
13,BSLC 205
14,Stuart 101
15,Stuart 101
16,Harper 102
17,Stuart 102
18,Stuart 102
19,Harper 104
20,KPTC 105
21,KPTC 105
22,Stuart 104
23,Stuart 104
24,Reynolds South Lounge
25,Reynolds South Lounge
26,Harper 135
27,Stuart 105
28,Stuart 105
29,Harper 150
30,Harper 141
31,Stuart 105
32,Stuart 105
33,Kent 107
34,Kent 107
35,Kent 107
36,Kent 107
37,Harper 145
38,Harper 148
39,Kent 107
40,Kent 107
