,Block 1,Block 2,Block 3,Block 4,Room
Anatomy & Physiology,9,10,11,12,BSLC
Astronomy,10,11,12,1,Harper 140
Chemistry Lab,11,12,1,9,BLSC
Disease Detectives,8,8,8,8,BSLC 107
Dynamic Planet,9,10,11,12,KPTC 103
Ecology,11,12,1,9,BSLC
Experimental Design,12,1,9,10,GCIS atrium
Fermi Questions,8,8,8,8,BSLC?
Forensics,12,1,9,10,BLSC
Game On,10,11,12,1,CSIL
Helicopters,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,Lab School
Herpetology,12,1,9,10,BLSLC
Hovercraft,8:00 - 8:30 AM,8:00 - 8:30 AM,8:00 - 8:30 AM,8:00 - 8:30 AM,BSLC
Materials Science,1,9,10,11,?
Microbe Mission,10,11,12,1,BSLC
Mission Possible,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,Lab School
Mousetrap Vehicle,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,Lab School
Optics,12,1,9,10,KPTC 101
Remote Sensing,11,12,1,9,GCIS - 3rd floor conference room
Rocks & Minerals,9,10,11,12,Hinds 176 - common room
Thermodynamics,1,9,10,11,BSLC
Towers,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,8:00-8:30 AM,Lab School
Write It Do It,1,9,10,11,BSLC - long tables
Density Lab (Trial),?,?,?,?,Harper 151
Picture This (Trial),?,?,?,?,BSLC classroom with long tables
